MSC Name	OMC Name	BSS Name	Site Name	Source MCC	Source MNC	Source LAC	Source CI	Dest MCC	Dest MNC	Dest LAC	Dest CI	Dest BSIC	Dest BCCH ARFCN
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	2420	20013	27	88
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	2420	20013	27	88
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23101	808	40	2420	20021	22	99
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	2420	20021	0	99
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	2420	20021	0	99
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23341	808	40	2420	20022	23	97
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23343	808	40	2420	20022	23	97
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	2420	20023	24	93
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	2420	20023	24	93
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23273	808	40	2420	20023	24	93
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23101	808	40	2420	20031	0	96
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	2420	20031	0	96
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	2420	20031	0	96
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	2420	20032	0	100
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	2420	20033	2	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	2420	20033	2	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	122	23101	29	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23103	808	40	122	23101	29	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	122	23101	29	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23101	808	40	122	23102	28	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23103	808	40	122	23102	28	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	122	23102	28	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23273	808	40	122	23102	28	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23101	808	40	122	23103	30	99
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	122	23103	30	99
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23101	808	40	122	23271	6	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	122	23271	6	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	122	23271	6	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23273	808	40	122	23271	6	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	122	23272	5	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23273	808	40	122	23272	5	94
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site1	404	80	122	23102	808	40	122	23273	7	97
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23271	808	40	122	23273	7	97
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site2	404	80	122	23272	808	40	122	23273	7	97
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23342	808	40	122	23341	44	88
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23343	808	40	122	23341	44	88
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23341	808	40	122	23342	45	90
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23343	808	40	122	23342	45	90
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23341	808	40	122	23343	46	92
BigPipeRoad_MSC	XXX_TEXAS_OMC	BSC_23_AlBi	Sample_Moto_GSM_Site3	404	80	122	23342	808	40	122	23343	46	92
